age,poor_rate
18.0,33.31000699790063
19.0,32.960199004975124
20.0,29.221183800623052
21.0,32.11356466876972
22.0,29.320024953212727
23.0,27.72151898734177
24.0,33.1858407079646
25.0,31.52302243211334
26.0,30.667433831990795
27.0,32.365145228215766
28.0,33.138515488018705
29.0,31.728942368587713
30.0,31.632010081915563
31.0,29.732868757259002
32.0,29.266826923076923
33.0,29.16102841677943
34.0,31.934877896055102
35.0,31.799163179916317
36.0,28.995157384987895
37.0,32.26006191950464
38.0,29.85159817351598
39.0,30.543677458766034
40.0,32.00540175557056
41.0,28.201970443349754
42.0,30.087306917394223
43.0,33.74008541793777
44.0,29.1371158392435
45.0,29.634464751958223
46.0,17.92152704135737
47.0,14.779005524861878
48.0,11.683417085427136
49.0,11.471321695760599
50.0,11.125827814569536
51.0,9.178082191780822
52.0,13.032258064516128
53.0,12.634408602150538
54.0,12.054794520547945
55.0,10.275689223057643
56.0,9.947643979057592
95.0,0.0
99.0,0.0
